[0, -0.33700478549319846]
[1, 0.11721353302419724]
[2, 0.3445791065061764]
[3, 0.1536342890273017]
[4, -0.12805680485883686]
[5, -0.4477332622100456]
[6, -0.2961600487878502]
[7, 0.341987490640586]
[8, 0.3423404267174225]
[9, -0.022621612254054346]
[10, 0.06280516210096598]
[11, -0.1608691267475959]
[12, -0.08653899014457811]
[13, -0.10748488954211788]
[14, 0.061652093738201796]
[15, 0.13090742156426527]
[16, -0.2812930633180388]
[17, 0.18817451590831835]
[18, 0.08279654777309087]
[19, -0.25822797618044946]
[20, 0.47048117103361453]
[21, -0.13139657212161715]
[22, 0.48441677372035297]
[23, -0.11838132621742514]
[24, -0.3807480558402615]
[25, 0.4373757059820841]
[26, 0.4873235112474531]
[27, -0.26495846835558756]
[28, -0.4591750202185222]
[29, -0.20114163796809637]
[30, 0.4078656711130779]
[31, -0.19071518139532417]
[32, -0.20722839904043844]
[33, -0.06434843067166773]
[34, -0.042231865776752864]
[35, 0.35232244181317063]
[36, 0.4384117331570305]
[37, -0.40653740970377494]
[38, -0.21642285114335247]
[39, -0.021145381813428843]
[40, -0.06944500006876608]
[41, 0.06696055764395292]
[42, 0.09095032496794231]
[43, -0.15422567430279988]
[44, 0.09881344205014353]
[45, -0.07745931459574384]
[46, 0.3586615161857567]
[47, 0.36787904617919354]
[48, -0.4824787103220689]
[49, 0.037037981466014]
[50, -0.28181495357299124]
[51, -0.3475097813275607]
[52, 0.2639308174230419]
[53, 0.49876304500068325]
[54, -0.44665811760446805]
[55, -0.44463510128195194]
[56, -0.28221486684408714]
[57, -0.23959630616074523]
[58, 0.45330090437390214]
[59, -0.4542058290197538]
[60, 0.1661287171552155]
[61, -0.44323252764894994]
[62, -0.47792898460769706]
[63, 0.1596412869640269]
[64, -0.31632023208278626]
[65, -0.25539114988758127]
[66, 0.27767568432334255]
[67, 0.30147299788661885]
[68, -0.47136521719486857]
[69, 0.4173604031815986]
[70, -0.035753638100160634]
[71, -0.18244055313399532]
[72, -0.27421832763677134]
[73, -0.3950482573691806]
[74, -0.09180977750987451]
[75, 0.4737657166409852]
[76, 0.19050410816858188]
[77, -0.40489844572965195]
[78, 0.0362035757153355]
[79, -0.35391731176710806]
[80, 0.39806041054790076]
[81, 0.33540182013724895]
[82, 0.08300084774263872]
[83, -0.11607202623565116]
[84, -0.1776275227034556]
[85, -0.30594070084320857]
[86, -0.10256337810122107]
[87, -0.4520795461246565]
[88, 0.20737741392536702]
[89, 0.179616381228616]
[90, -0.027889610687605648]
[91, 0.1815832713516028]
[92, -0.2935759611037052]
[93, -0.39198775173083533]
[94, -0.02239767061913034]
[95, 0.05836945471944299]
[96, -0.433110010122005]
[97, -0.0027035779898204604]
[98, 0.4820299832679653]
[99, 0.03763433963047347]
[100, 0.13746677862664314]
[101, 0.15826842902600113]
[102, 0.4928376950301816]
[103, -0.3636045074585935]
[104, -0.43276331278038105]
[105, -0.2046513936860369]
[106, -0.03096986605896035]
[107, -0.48185939839805125]
[108, 0.21150157720170448]
[109, -0.2923018674307186]
[110, 0.38738965288193483]
[111, 0.01461235475334266]
[112, -0.1993082843960564]
[113, 0.3251525166417879]
[114, -0.4532206675503372]
[115, -0.42646704220547327]
[116, -0.023377783132459196]
[117, 0.4283843304927062]
[118, -0.2399224607793916]
[119, -0.16057165772562465]
[120, 0.00215329299240552]
[121, 0.0035605503550922846]
[122, -0.3985189410689379]
[123, 0.09155400586934204]
[124, -0.40679503431304276]
[125, 0.30925350744191193]
[126, -0.31274923680451494]
[127, 0.37776117168647905]
[128, 0.18239878113439034]
[129, 0.24480522457593767]
[130, 0.44957865258696583]
[131, -0.2088888924158323]
[132, 0.1758578884028792]
[133, -0.27129425342613456]
[134, 0.24075418942468607]
[135, 0.4460276825373066]
[136, -0.1553528494010048]
[137, 0.42085833877485046]
[138, 0.2776413228438088]
[139, -0.011287823018464538]
[140, 0.22341865490002732]
[141, -0.07801185586772397]
[142, 0.2159981064888028]
[143, -0.3113678668845221]
[144, 0.2117499566810639]
[145, 0.16892438936028042]
[146, 0.14286871829365122]
[147, 0.2793480360019335]
[148, -0.22054733113273095]
[149, -0.012606865351632135]
[150, -0.23925540914729337]
[151, -0.37533419120522415]
[152, -0.004819431247281125]
[153, 0.49704355498575725]
[154, 0.14321370401877376]
[155, 0.4354410667871824]
[156, 0.34433920173557575]
[157, -0.24674231019948512]
[158, 0.22031537920786526]
[159, -0.04839502035922982]
[160, 0.43653180688333415]
[161, 0.24006999845134913]
[162, 0.05718017974482181]
[163, 0.4808693926084908]
[164, -0.08302391668074882]
[165, -0.41396395111557815]
[166, -0.4540956575926097]
[167, 0.41964274263517]
[168, -0.4708984899441716]
[169, -0.40950307114747253]
[170, 0.17048845043464922]
[171, 0.1502619027926746]
[172, -0.08535253557541345]
[173, 0.4739878992357158]
[174, 0.1606288874444105]
[175, -0.07800113406250431]
[176, -0.3425185244025756]
[177, 0.2050291899179112]
[178, -0.11138174489289288]
[179, 0.061245191484045614]
[180, -0.20757745385544313]
[181, 0.4033119841635985]
[182, -0.3466836061361741]
[183, 0.2503494242378761]
[184, 0.2951671934638511]
[185, -0.2001428427092442]
[186, -0.009032439191343888]
[187, 0.13690456259659667]
[188, 0.02940898664379432]
[189, -0.41303682660106544]
[190, -0.383125133085063]
[191, -0.07757863820908961]
[192, 0.42128377976421816]
[193, -0.37421165050921756]
[194, -0.06953713776430337]
[195, 0.16370936429650307]
[196, -0.2322503985771195]
[197, -0.49162366965072757]
[198, -0.40583883188208336]
[199, -0.16535104146979585]
[200, -0.09812598410291662]
[201, 0.026271236076811366]
[202, -0.37752459950550876]
[203, -0.44082098359066413]
[204, 0.26223205948312955]
[205, -0.16135153706818872]
[206, 0.11109975649506065]
[207, 0.2537956673681814]
[208, 0.31833680991615754]
[209, 0.16715856620475267]
[210, 0.47806096272833565]
[211, -0.49652207151036887]
[212, -0.14387610417571328]
[213, 0.20930873353086854]
[214, 0.06356868747163491]
[215, -0.33217064198654844]
[216, 0.020929910815049246]
[217, 0.3917209240120799]
[218, 0.45447750189074154]
[219, -0.015235956671458939]
[220, 0.3634252024749909]
[221, -0.2171253475722209]
[222, -0.4813823143924858]
[223, 0.32533778810770086]
[224, 0.2648283802662649]
[225, 0.46373340622643233]
[226, 0.32956502280918043]
[227, 0.12942022758448457]
[228, 0.31619945801914195]
[229, -0.46608488919006774]
[230, -0.3467600742554954]
[231, 0.07887222787386083]
[232, 0.4763317712252516]
[233, -0.47109845075519385]
[234, -0.2182368742327664]
[235, 0.16331060729874913]
[236, 0.22698971224739195]
[237, 0.062122764760485616]
[238, 0.26641429683583573]
[239, -0.1812449640389262]
[240, -0.05536888681953267]
[241, -0.039374368075323574]
[242, -0.1372841122498264]
[243, 0.05525688569328291]
[244, 0.11638125842179947]
[245, 0.47055047040490405]
[246, -0.4231205501202374]
[247, -0.1796928961338673]
[248, 0.08951560172496709]
[249, -0.4552406788133634]
[250, -0.41569391140850565]
[251, -0.0354850039584913]
[252, -0.414161181597576]
[253, 0.05807299128017107]
[254, -0.45344435531460103]
[255, 0.48550144203087275]
[256, 0.48265275372670513]
[257, 0.030576900940924134]
[258, 0.20516047775219548]
[259, -0.43777318017303746]
[260, 0.2996868658426466]
[261, 0.3639758425113897]
[262, -0.47021443497207716]
[263, -0.3519309742172402]
[264, -0.2912140612812284]
[265, -0.31524230532547537]
[266, 0.4964140139150125]
[267, -0.1860734137987593]
[268, -0.13525891560146797]
[269, -0.4057027068487068]
[270, 0.3670023114908526]
[271, 0.07612152830144947]
[272, 0.32324139021488973]
[273, -0.2902125259345324]
[274, 0.36958526908337985]
[275, -0.35437179001616226]
[276, 0.319182447197778]
[277, 0.4362477036073964]
[278, 0.4363154700147841]
[279, 0.1682135432055959]
[280, -0.1772976069593044]
[281, 0.008474236841201965]
[282, 0.0448488776641941]
[283, -0.36126845931154017]
[284, -0.382901463270759]
[285, 0.04224970473146583]
[286, -0.3619373815116491]
[287, 0.18027432729274961]
[288, -0.049050960270007105]
[289, -0.2655850888493142]
[290, 0.05074838970095774]
[291, -0.24310767810706824]
[292, -0.2943705750538671]
[293, 0.00036934032721303023]
[294, -0.2462553770728293]
[295, 0.39299894812211056]
[296, 0.20183555148375298]
[297, 0.18975503026643092]
[298, -0.14078743291211582]
[299, -0.16940724184520095]
[300, -0.19562214046151116]
[301, 0.32743833341617024]
[302, 0.33654244036786973]
[303, 0.3304987966070555]
[304, 0.1713347649683611]
[305, 0.18929886000897067]
[306, -0.06059675490651206]
[307, 0.1021422921666243]
[308, -0.4978284574610269]
[309, 0.17208043922302962]
[310, 0.20081441349760898]
[311, 0.0986554381861936]
[312, -0.17526349645013717]
[313, 0.2245111043497492]
[314, -0.2292543070083296]
[315, -0.02941122783321437]
[316, -0.320826460890394]
[317, -0.20593210081491864]
[318, 0.07653195548353942]
[319, 0.12679925066108932]
[320, -0.2625110707198782]
[321, 0.16686532303708634]
[322, -0.4214517675606798]
[323, 0.3275253677942971]
[324, 0.08856261006649346]
[325, 0.08819012663940407]
[326, 0.2720214457008069]
[327, 0.13500206247187285]
[328, 0.4807763900307447]
[329, 0.27941124206365775]
[330, 0.36891926462128255]
[331, 0.38446135674007564]
[332, -0.34894711313597404]
[333, -0.27902889360740424]
[334, 0.3662090861607167]
[335, 0.1259960056351609]
[336, 0.07039175729326175]
[337, 0.07654768272478818]
[338, -0.10356186463699979]
[339, 0.2434223469276926]
[340, -0.1409770914171652]
[341, -0.2733515401424327]
[342, 0.4761081561477448]
[343, 0.4145945928164665]
[344, -0.38339623078625296]
[345, 0.46944282126259496]
[346, 0.41220630451634466]
[347, -0.06808058805172079]
[348, -0.05003386726146275]
[349, 0.40690057154993997]
[350, 0.08202298901800864]
[351, -0.17450724855797106]
[352, -0.22301835544244275]
[353, -0.23172157613203426]
[354, 0.41888400145230253]
[355, 0.09177910648177212]
[356, 0.13337631253000515]
[357, 0.31254120207198033]
[358, 0.02134087323405931]
[359, 0.29008615761497725]
[360, 0.16736539880481416]
[361, -0.4000133384649628]
[362, -0.05389705269174305]
[363, 0.3581703885522076]
[364, -0.33632233391382527]
[365, 0.29104000400160124]
[366, 0.1607843713232362]
[367, 0.4677984011600461]
[368, -0.4564157965721165]
[369, -0.452719235343256]
[370, 0.30827235240789574]
[371, 0.16919217655897567]
[372, 0.05683870672072833]
[373, -0.34266386385636505]
[374, -0.12157794308367764]
[375, 0.16571359895012883]
[376, -0.43076102029552366]
[377, 0.11984333141349768]
[378, -0.391019474316774]
[379, -0.13660615735469284]
[380, -0.2198310526001671]
[381, 0.13545504235629635]
[382, -0.09192639788106405]
[383, 0.15794042357447435]
[384, -0.11003020683764442]
[385, -0.3288827616010145]
[386, 0.09438054392724671]
[387, 0.4426257530120311]
[388, 0.3323870417693747]
[389, 0.22097035254180664]
[390, -0.343211669975796]
[391, -0.1535152283962814]
[392, 0.35791558065669005]
[393, -0.15183396356638368]
[394, 0.4602181268520823]
[395, -0.13091003070548746]
[396, -0.4534177238292749]
[397, 0.01243512780609024]
[398, 0.45059566189325895]
[399, -0.41486167069971225]
[400, 0.44948398514415244]
[401, 0.27614697129830945]
[402, -0.35983813215344884]
[403, -0.38586748223421263]
[404, 0.31806553731266407]
[405, 0.1509322231626804]
[406, -0.14591892507497495]
[407, 0.08994032295426346]
[408, -0.24062786205664033]
[409, -0.22964192914869275]
[410, -0.42833950735454906]
[411, 0.3751991081726912]
[412, -0.4691677043213224]
[413, -0.0721719824368543]
[414, -0.1945613922767474]
[415, -0.10008294330449174]
[416, -0.12228305165515807]
[417, -0.017420275161747933]
[418, -0.24383641514057086]
[419, -0.169104665567276]
[420, -0.46058213662620195]
[421, -0.23829486015201917]
[422, 0.00028011649423820284]
[423, -0.16318011593458026]
[424, -0.4696173003249038]
[425, 0.4474522970328938]
[426, 0.26900151198753686]
[427, -0.10442838603202997]
