[401, 0]
[402, 0]
[403, 0]
[404, 0]
[405, 0]
[406, 0]
[407, 0]
[408, 0]
[409, 0]
[410, 0]
[411, 0]
[412, 0]
[413, 0]
[414, 0]
[415, 0]
[416, 0]
[417, 0]
[418, 0]
[419, 0]
[420, 0]
[421, 0]
[422, 0]
[423, 0]
[424, 0]
[425, 0]
[426, 0]
[427, 0]
[428, 0]
[429, 0]
[430, 0]
[431, 0]
[432, 0]
[433, 0]
[434, 0]
[435, 0]
[436, 0]
[437, 0]
[438, 0]
[439, 0]
[440, 0]
[441, 0]
[442, 0]
[443, 0]
[444, 0]
[445, 0]
[446, 0]
[447, 0]
[448, 0]
[449, 0]
[450, 0]
[451, 0]
[452, 0]
[453, 0]
[454, 0]
[455, 0]
[456, 0]
[457, 0]
[458, 0]
[459, 0]
[460, 0]
[461, 0]
[462, 0]
[463, 0]
[464, 0]
[465, 0]
[466, 0]
[467, 0]
[468, 0]
[469, 0]
[470, 0]
[471, 0]
[472, 0]
[473, 0]
[474, 0]
[475, 0]
[476, 0]
[477, 0]
[478, 0]
[479, 0]
[480, 0]
[481, 0]
[482, 0]
[483, 0]
[484, 0]
[485, 0]
[486, 0]
[487, 0]
[488, 0]
[489, 0]
[490, 0]
[491, 0]
[492, 0]
[493, 0]
[494, 0]
[495, 0]
[496, 0]
[497, 0]
[498, 0]
[499, 0]
[500, 0]
[901, 1]
[902, 1]
[903, 1]
[904, 1]
[905, 1]
[906, 1]
[907, 1]
[908, 1]
[909, 1]
[910, 1]
[911, 1]
[912, 1]
[913, 1]
[914, 1]
[915, 1]
[916, 1]
[917, 1]
[918, 1]
[919, 1]
[920, 1]
[921, 1]
[922, 1]
[923, 1]
[924, 1]
[925, 1]
[926, 1]
[927, 1]
[928, 1]
[929, 1]
[930, 1]
[931, 1]
[932, 1]
[933, 1]
[934, 1]
[935, 1]
[936, 1]
[937, 1]
[938, 1]
[939, 1]
[940, 1]
[941, 1]
[942, 1]
[943, 1]
[944, 1]
[945, 1]
[946, 1]
[947, 1]
[948, 1]
[949, 1]
[950, 1]
[951, 1]
[952, 1]
[953, 1]
[954, 1]
[955, 1]
[956, 1]
[957, 1]
[958, 1]
[959, 1]
[960, 1]
[961, 1]
[962, 1]
[963, 1]
[964, 1]
[965, 1]
[966, 1]
[967, 1]
[968, 1]
[969, 1]
[970, 1]
[971, 1]
[972, 1]
[973, 1]
[974, 1]
[975, 1]
[976, 1]
[977, 1]
[978, 1]
[979, 1]
[980, 1]
[981, 1]
[982, 1]
[983, 1]
[984, 1]
[985, 1]
[986, 1]
[987, 1]
[988, 1]
[989, 1]
[990, 1]
[991, 1]
[992, 1]
[993, 1]
[994, 1]
[995, 1]
[996, 1]
[997, 1]
[998, 1]
[999, 1]
[1000, 1]
