[95, 0]
[747, 1]
[584, 1]
[65, 0]
[381, 0]
[784, 1]
[3, 0]
[71, 0]
[782, 1]
[614, 1]
[895, 1]
[794, 1]
[308, 0]
[672, 1]
[731, 1]
[129, 0]
[578, 1]
[198, 0]
[546, 1]
[195, 0]
[797, 1]
[853, 1]
[310, 0]
[669, 1]
[329, 0]
[751, 1]
[727, 1]
[575, 1]
[823, 1]
[136, 0]
[355, 0]
[863, 1]
[833, 1]
[83, 0]
[92, 0]
[333, 0]
[608, 1]
[107, 0]
[690, 1]
[796, 1]
[562, 1]
[668, 1]
[356, 0]
[625, 1]
[146, 0]
[59, 0]
[76, 0]
[86, 0]
[804, 1]
[231, 0]
[712, 1]
[677, 1]
[643, 1]
[704, 1]
[654, 1]
[67, 0]
[187, 0]
[813, 1]
[781, 1]
[275, 0]
[13, 0]
[647, 1]
[353, 0]
[729, 1]
[344, 0]
[629, 1]
[322, 0]
[280, 0]
[233, 0]
[16, 0]
[898, 1]
[740, 1]
[268, 0]
[726, 1]
[300, 0]
[363, 0]
[194, 0]
[36, 0]
[339, 0]
[109, 0]
[366, 0]
[374, 0]
[592, 1]
[372, 0]
[90, 0]
[809, 1]
[723, 1]
[45, 0]
[32, 0]
[742, 1]
[284, 0]
[179, 0]
[121, 0]
[125, 0]
[835, 1]
[705, 1]
[361, 0]
[755, 1]
[376, 0]
[558, 1]
[720, 1]
[566, 1]
[85, 0]
[396, 0]
[549, 1]
[56, 0]
[171, 0]
[158, 0]
[501, 1]
[256, 0]
[207, 0]
[844, 1]
[281, 0]
[605, 1]
[570, 1]
[737, 1]
[225, 0]
[106, 0]
[124, 0]
[218, 0]
[201, 0]
[550, 1]
[786, 1]
[814, 1]
[757, 1]
[137, 0]
[273, 0]
[693, 1]
[702, 1]
[41, 0]
[774, 1]
[382, 0]
[768, 1]
[656, 1]
[295, 0]
[111, 0]
[72, 0]
[650, 1]
[128, 0]
[877, 1]
[197, 0]
[571, 1]
[180, 0]
[112, 0]
[516, 1]
[675, 1]
[759, 1]
[186, 0]
[270, 0]
[619, 1]
[216, 0]
[785, 1]
[873, 1]
[132, 0]
[892, 1]
[711, 1]
[808, 1]
[597, 1]
[591, 1]
[581, 1]
