[0, 0.08930475376674518]
[1, 0.4176041479675002]
[2, -0.09633808677335387]
[3, -0.020065680881208414]
[4, -0.17762689362506134]
[5, -0.14942690286845817]
[6, -0.09491759512700304]
[7, -0.11798342584612254]
[8, 0.45354324540953406]
[9, 0.3609215537411885]
[10, 0.22897812568250808]
[11, 0.49357529166779457]
[12, -0.3646305785569476]
[13, -0.3686237799539712]
[14, 0.10149912169898101]
[15, 0.011521879932775092]
[16, 0.34953993224531543]
[17, -0.25992756281684193]
[18, -0.132845416159606]
[19, 0.46410194112547654]
[20, 0.475903091610676]
[21, 0.21701191672116382]
[22, 0.3272943233760641]
[23, -0.266088631270075]
[24, 0.2253199434112797]
[25, 0.08181731935626535]
[26, -0.20134616761985402]
[27, 0.26925642778414016]
[28, 0.2501098459265002]
[29, 0.47651013967117617]
[30, 0.45633485690500075]
[31, 0.023727761585511153]
[32, 0.3076918456244089]
[33, 0.35083132445731946]
[34, -0.011219472519053864]
[35, -0.2327307137876924]
[36, -0.32704285395641897]
[37, -0.4428692600383073]
[38, -0.29505932368392795]
[39, -0.4832943236629398]
[40, 0.24060511933347128]
[41, -0.17224174974992146]
[42, 0.4542892237276025]
[43, 0.14516806686094386]
[44, 0.19156459764519984]
[45, -0.41138739811568614]
[46, -0.2334827649769453]
[47, -0.47864613599740846]
[48, 0.45296315013506805]
[49, -0.17777828388772254]
[50, -0.04661625293309879]
[51, 0.05186226839876218]
[52, -0.4638528161052262]
[53, -0.050171330977346607]
[54, 0.45325868843747263]
[55, -0.4866858949637648]
[56, -0.1168580375728695]
[57, -0.49684547946781454]
[58, -0.4965008433946606]
[59, 0.03576756456681829]
[60, 0.3016292242215004]
[61, -0.4697814964712095]
[62, -0.1797410432442672]
[63, 0.32227397113156386]
[64, 0.27787746420221937]
[65, -0.27302584267169494]
[66, -0.29556715576237347]
[67, -0.02697760953847017]
[68, -0.05533567266880013]
[69, 0.21897174285206822]
[70, 0.15386544341974784]
[71, -0.31467379422821207]
[72, 0.3769959749068993]
[73, 0.12952541231712522]
[74, -0.30311698176404034]
[75, 0.39404220984098626]
[76, -0.03843205549346784]
[77, 0.22901980549493495]
[78, 0.23986836807293466]
[79, 0.2062688595836336]
[80, 0.16631893311932366]
[81, -0.28879182980499274]
[82, 0.031143936109461423]
[83, 0.4647861116201014]
[84, 0.24605559028372026]
[85, 0.45845807494555524]
[86, 0.4262941803890017]
[87, -0.2446964408286113]
[88, -0.45526087294568984]
[89, -0.35951389383185894]
[90, 0.2804370797933966]
[91, -0.020016698960070523]
[92, -0.448617758678741]
[93, 0.4157349854724509]
[94, 0.14797596151845183]
[95, 0.4910006041749811]
[96, -0.10680408586675222]
[97, -0.47956093842570785]
[98, -0.24965560386262686]
[99, -0.2664174096176154]
[100, -0.2933969961868027]
[101, 0.02489603476244351]
[102, -0.35216157355796934]
[103, 0.45229356190869685]
[104, -0.1298665134879467]
[105, 0.014008564078197325]
[106, -0.29847623456550637]
[107, -0.13108302770773728]
[108, 0.43550898283303174]
[109, -0.2264666772232573]
[110, -0.1412017935557085]
[111, 0.2031142315043164]
[112, 0.024147205318594822]
[113, 0.21863635993194153]
[114, 0.24736067931653571]
[115, -0.21802015824163534]
[116, 0.02140898803680724]
[117, -0.35566360893967097]
[118, 0.4116482271193147]
[119, -0.3781705848056486]
[120, -0.6737525813968859]
[121, -0.7407010211169661]
[122, -0.7426434200438659]
[123, 0.008697965454144911]
[124, -0.4745432133147439]
[125, -1.0153706449317466]
[126, -1.417569018942304]
