[8, 0]
[77, 0]
[2571, 5]
[3334, 6]
[4312, 8]
[510, 1]
[4351, 8]
[3313, 6]
[666, 1]
[1018, 2]
[1629, 3]
[3348, 6]
[4660, 9]
[4872, 9]
[3861, 7]
[3328, 6]
[2125, 4]
[4799, 9]
[4636, 9]
[3271, 6]
[3652, 7]
[2726, 5]
[1254, 2]
[1181, 2]
[4052, 8]
[3635, 7]
[2590, 5]
[2549, 5]
[2686, 5]
[4334, 8]
[4230, 8]
[1881, 3]
[4266, 8]
[637, 1]
[4298, 8]
[10, 0]
[26, 0]
[4153, 8]
[4121, 8]
[4868, 9]
[1866, 3]
[2155, 4]
[3549, 7]
[3148, 6]
[3239, 6]
[1545, 3]
[3264, 6]
[4798, 9]
[341, 0]
[2603, 5]
[1093, 2]
[2153, 4]
[1108, 2]
[106, 0]
[1096, 2]
[1331, 2]
[1171, 2]
[1024, 2]
[3009, 6]
[113, 0]
[530, 1]
[4294, 8]
[859, 1]
[3503, 7]
[2025, 4]
[2667, 5]
[2374, 4]
[2194, 4]
[662, 1]
[153, 0]
[355, 0]
[1382, 2]
[4075, 8]
[4323, 8]
[50, 0]
[2620, 5]
[2656, 5]
[1186, 2]
[1810, 3]
[2320, 4]
[100, 0]
[2250, 4]
[1054, 2]
[1099, 2]
[764, 1]
[3109, 6]
[4136, 8]
[4065, 8]
[4863, 9]
[4846, 9]
[380, 0]
[1191, 2]
[557, 1]
[3900, 7]
[4809, 9]
[2660, 5]
[2394, 4]
[4616, 9]
[4771, 9]
[2502, 5]
[3781, 7]
[2034, 4]
[4197, 8]
[734, 1]
[733, 1]
[3866, 7]
[4826, 9]
[1197, 2]
[2846, 5]
[2296, 4]
[256, 0]
[237, 0]
[3309, 6]
[40, 0]
[1369, 2]
[2357, 4]
[1146, 2]
[3551, 7]
[2145, 4]
[4139, 8]
[3353, 6]
[3256, 6]
[4761, 9]
[4019, 8]
[3043, 6]
[3186, 6]
[1340, 2]
[60, 0]
[2123, 4]
[3203, 6]
[2767, 5]
[4512, 9]
[2817, 5]
[2330, 4]
[4118, 8]
[4900, 9]
[4557, 9]
[4686, 9]
[3557, 7]
[4586, 9]
[3644, 7]
[3378, 6]
[3838, 7]
[1205, 2]
[1120, 2]
[3305, 6]
[692, 1]
[4093, 8]
[155, 0]
[242, 0]
[3791, 7]
[895, 1]
[2236, 4]
[3860, 7]
[1389, 2]
[4342, 8]
[3623, 7]
[4646, 9]
[349, 0]
[1399, 2]
[4054, 8]
[2100, 4]
[4391, 8]
[4115, 8]
[3819, 7]
[3111, 6]
[184, 0]
[2775, 5]
[2712, 5]
[269, 0]
[3681, 7]
[93, 0]
[1267, 2]
[2164, 4]
[2641, 5]
[3603, 7]
[279, 0]
[3891, 7]
[1176, 2]
[1031, 2]
[2285, 4]
[394, 0]
[1155, 2]
[3141, 6]
[2097, 4]
[3612, 7]
[282, 0]
[2745, 5]
[4343, 8]
[2231, 4]
[3823, 7]
[3567, 7]
[1174, 2]
[760, 1]
[627, 1]
[4544, 9]
[3812, 7]
[3131, 6]
[3336, 6]
[2013, 4]
[278, 0]
[301, 0]
[2591, 5]
[1657, 3]
[4785, 9]
[2317, 4]
[1518, 3]
[1700, 3]
[848, 1]
[1583, 3]
[3504, 7]
[3601, 7]
[3732, 7]
[3833, 7]
[2601, 5]
[1218, 2]
[2162, 4]
[602, 1]
[1725, 3]
[306, 0]
[3255, 6]
[1383, 2]
[1053, 2]
[2670, 5]
[4762, 9]
[2143, 4]
[3073, 6]
[1717, 3]
[4106, 8]
[2230, 4]
[1818, 3]
[1678, 3]
[4832, 9]
[1166, 2]
[3578, 7]
[2672, 5]
[3573, 7]
[4532, 9]
[2142, 4]
[3766, 7]
[2189, 4]
[2027, 4]
[3831, 7]
[1637, 3]
[1346, 2]
[4102, 8]
[2823, 5]
[4554, 9]
[3331, 6]
[4877, 9]
[2159, 4]
[1660, 3]
[220, 0]
[2319, 4]
[2397, 4]
[840, 1]
[22, 0]
[4038, 8]
[2176, 4]
[3075, 6]
[121, 0]
[4217, 8]
[775, 1]
[569, 1]
[2369, 4]
[2535, 5]
[358, 0]
[2733, 5]
[4178, 8]
[4775, 9]
[2362, 4]
[1223, 2]
[3160, 6]
[2655, 5]
[4810, 9]
[1131, 2]
[174, 0]
[3731, 7]
[263, 0]
[293, 0]
[2201, 4]
[343, 0]
[4372, 8]
[2744, 5]
[2801, 5]
[3751, 7]
[1159, 2]
[2268, 4]
[4824, 9]
[1327, 2]
[1284, 2]
[4878, 9]
[1145, 2]
[1301, 2]
[1554, 3]
[3580, 7]
[887, 1]
[2860, 5]
[611, 1]
[1664, 3]
[1721, 3]
[3658, 7]
[3024, 6]
[2769, 5]
[4651, 9]
[1260, 2]
[109, 0]
[1884, 3]
[3052, 6]
[127, 0]
[1791, 3]
[3519, 7]
[2179, 4]
[1712, 3]
[2835, 5]
[619, 1]
[606, 1]
[4341, 8]
[3165, 6]
[4221, 8]
[719, 1]
[2287, 4]
[1158, 2]
[2653, 5]
[2094, 4]
[826, 1]
[659, 1]
[2825, 5]
[3530, 7]
[3296, 6]
[4742, 9]
[4712, 9]
[685, 1]
[4219, 8]
[3036, 6]
[3354, 6]
[4016, 8]
[2032, 4]
[3327, 6]
[274, 0]
[4096, 8]
[709, 1]
[4612, 9]
[43, 0]
[3784, 7]
[851, 1]
[164, 0]
[3718, 7]
[770, 1]
[3737, 7]
[1817, 3]
[4147, 8]
[135, 0]
[4541, 9]
[3801, 7]
[1883, 3]
[1277, 2]
[1298, 2]
[742, 1]
[3618, 7]
[65, 0]
[4606, 9]
[2067, 4]
[4879, 9]
[2508, 5]
[1592, 3]
[72, 0]
[2016, 4]
[1835, 3]
[1114, 2]
[2528, 5]
[2071, 4]
[273, 0]
[3216, 6]
[2306, 4]
[2141, 4]
[3546, 7]
[2699, 5]
[4735, 9]
[550, 1]
[266, 0]
[3524, 7]
[4128, 8]
[229, 0]
[4336, 8]
[4188, 8]
[1691, 3]
[2889, 5]
[4237, 8]
[632, 1]
[4302, 8]
[2892, 5]
[2782, 5]
[4311, 8]
[2675, 5]
[4366, 8]
[593, 1]
[3130, 6]
[2663, 5]
[3250, 6]
[2202, 4]
[1735, 3]
[2302, 4]
[3242, 6]
[4265, 8]
[1538, 3]
[671, 1]
[1605, 3]
[786, 1]
[3678, 7]
[3235, 6]
[2331, 4]
[2673, 5]
[2816, 5]
[1309, 2]
[1366, 2]
[582, 1]
[1893, 3]
[4275, 8]
[2214, 4]
[4880, 9]
[4295, 8]
[2599, 5]
[1710, 3]
[4726, 9]
[3598, 7]
[525, 1]
[3723, 7]
[2133, 4]
[2868, 5]
[1661, 3]
[1387, 2]
[4061, 8]
[1004, 2]
[377, 0]
[2883, 5]
[4585, 9]
[2757, 5]
[4384, 8]
[1358, 2]
[4529, 9]
[4571, 9]
[680, 1]
[717, 1]
[1641, 3]
[4604, 9]
[1394, 2]
[3767, 7]
[3622, 7]
[4300, 8]
[1033, 2]
[1589, 3]
[649, 1]
[3169, 6]
[210, 0]
[3105, 6]
[3023, 6]
[1647, 3]
[4808, 9]
[2795, 5]
[589, 1]
[3223, 6]
[2281, 4]
[2820, 5]
[309, 0]
[2734, 5]
[4701, 9]
[1242, 2]
[629, 1]
[23, 0]
[176, 0]
[2859, 5]
[3654, 7]
[1610, 3]
[2579, 5]
[2253, 4]
[791, 1]
[2269, 4]
[1023, 2]
[179, 0]
[1767, 3]
[2819, 5]
[624, 1]
[3525, 7]
[4768, 9]
[536, 1]
[1391, 2]
[2509, 5]
[2784, 5]
[3230, 6]
[1871, 3]
[3502, 7]
[2227, 4]
[1769, 3]
[2157, 4]
[828, 1]
[4346, 8]
[2780, 5]
[1690, 3]
[4591, 9]
[2078, 4]
[4053, 8]
[3521, 7]
[311, 0]
[2235, 4]
[1601, 3]
[3048, 6]
[4184, 8]
[681, 1]
[4505, 9]
[598, 1]
[4189, 8]
[2167, 4]
[2315, 4]
[2022, 4]
[1288, 2]
[19, 0]
[1614, 3]
[4026, 8]
[4725, 9]
[2217, 4]
[131, 0]
[172, 0]
[1764, 3]
[4511, 9]
[4227, 8]
[2731, 5]
[4721, 9]
[4063, 8]
[4210, 8]
[1271, 2]
[2011, 4]
[1848, 3]
[4279, 8]
[3078, 6]
[1386, 2]
[1118, 2]
[4169, 8]
[2140, 4]
[3713, 7]
[4205, 8]
[864, 1]
[3228, 6]
[3589, 7]
[3782, 7]
[4091, 8]
[504, 1]
[4748, 9]
[1762, 3]
[4292, 8]
[3259, 6]
[1770, 3]
[3189, 6]
[1311, 2]
[2262, 4]
[175, 0]
[4400, 8]
[1133, 2]
[3303, 6]
[3372, 6]
[162, 0]
[4328, 8]
[2264, 4]
[4553, 9]
[2716, 5]
[2506, 5]
[604, 1]
[3679, 7]
[2719, 5]
[2121, 4]
[4176, 8]
[3768, 7]
[17, 0]
[2358, 4]
[2225, 4]
[2586, 5]
[4163, 8]
[1234, 2]
[2056, 4]
[2853, 5]
[4746, 9]
[2244, 4]
[1570, 3]
[4031, 8]
[1759, 3]
[211, 0]
[3393, 6]
[603, 1]
[4670, 9]
[1008, 2]
[3139, 6]
[3649, 7]
[64, 0]
[2005, 4]
[1272, 2]
[4847, 9]
[1643, 3]
[795, 1]
[3611, 7]
[1379, 2]
[2347, 4]
[3358, 6]
[4352, 8]
[3783, 7]
[824, 1]
[3572, 7]
[295, 0]
[2102, 4]
[3859, 7]
[1238, 2]
[1119, 2]
[3118, 6]
[667, 1]
[1880, 3]
[4304, 8]
[5, 0]
[3851, 7]
[4713, 9]
[4852, 9]
[2527, 5]
[2863, 5]
[3035, 6]
[4194, 8]
[2136, 4]
[3388, 6]
[82, 0]
[147, 0]
[2118, 4]
[182, 0]
[262, 0]
[1165, 2]
[3170, 6]
[4704, 9]
[3319, 6]
[4887, 9]
[3126, 6]
